anomalyID, srcIP, srcPort, dstIP, dstPort, taxonomy, heuristic, distance, nbDetectors, label
31,95.217.58.16,,,2083,ntscSYN,-0.73058,1,suspicious
32,60.191.98.215,,133.11.125.240,,mptmp,-0.57902,3,suspicious
32,60.191.98.215,,,443,mptmp,-0.57902,3,suspicious
32,126.88.138.14,,133.11.125.240,,mptmp,-0.57902,3,suspicious
32,126.88.138.14,,,443,mptmp,-0.57902,3,suspicious
32,,,133.11.125.240,443,mptmp,-0.57902,3,suspicious
32,,4500,133.11.125.240,4500,mptmp,-0.57902,3,suspicious
33,133.23.10.9,22,,,ptmp,-0.57902,3,suspicious
33,133.23.10.9,443,,,ptmp,-0.57902,3,suspicious
33,133.23.10.9,,,,ptmp,-0.57902,3,suspicious
34,150.124.227.194,,,443,ptmp,-0.15843,3,suspicious
34,150.124.227.194,,43.22.102.20,80,ptmp,-0.15843,3,suspicious
35,,,202.12.30.224,53,mptp,-0.57754,3,suspicious
36,79.113.66.66,45545,,4444,ntscSYN,-0.57902,3,suspicious
36,79.113.66.66,45561,,4444,ntscSYN,-0.57902,3,suspicious
37,202.218.95.30,,13.104.106.21,443,alphfl,-0.63225,2,suspicious
38,,53,150.124.152.98,,rflatDNS,-0.08819,5,suspicious
38,88.193.223.228,53,131.98.99.243,,rflatDNS,-0.08819,5,suspicious
39,,,,443,mptmp,-0.57902,3,suspicious
40,104.54.141.167,17136,,,ptmp,-0.47015,2,suspicious
41,115.198.114.221,9311,150.124.225.67,,alphfl,-0.47015,2,suspicious
42,131.98.99.245,,168.139.9.234,,mptmp,-0.06266,3,suspicious
42,131.98.99.245,,167.87.32.72,,mptmp,-0.06266,3,suspicious
42,131.98.99.245,25,,,mptmp,-0.06266,3,suspicious
42,131.98.99.244,25,168.139.9.234,,mptmp,-0.06266,3,suspicious
42,131.98.99.244,25,167.87.32.72,,mptmp,-0.06266,3,suspicious
43,131.98.42.58,,190.109.214.246,,ptmpla,-0.47015,2,suspicious
43,,,190.109.214.246,,ptmpla,-0.47015,2,suspicious
43,,,190.109.214.246,,ptmpla,-0.47015,2,suspicious
43,131.98.42.58,,,,ptmpla,-0.47015,2,suspicious
44,150.124.1.27,,107.41.6.251,443,ptmpla,-0.47015,2,suspicious
44,150.124.1.27,,34.153.32.182,443,ptmpla,-0.47015,2,suspicious
45,150.124.227.17,,,443,ptmp,-0.57902,3,suspicious
46,150.124.182.78,443,66.169.70.37,,ptmpla,-0.47015,2,suspicious
46,150.124.182.78,443,66.169.68.24,,ptmpla,-0.47015,2,suspicious
47,157.90.222.12,443,46.178.137.228,58752,alphfl,-0.47015,2,suspicious
47,157.90.222.12,80,46.178.137.228,63747,alphfl,-0.47015,2,suspicious
48,202.33.1.14,80,157.90.191.175,,alphflHTTP,-0.47015,2,suspicious
49,60.182.76.130,,133.11.83.211,443,alphfl,-0.47015,2,suspicious
50,64.46.197.85,,,4500,ptmp,-0.47015,2,suspicious
50,64.46.197.85,,,5986,ptmp,-0.47015,2,suspicious
51,74.156.235.230,443,131.98.133.146,57923,alphfl,-0.47015,2,suspicious
51,74.156.235.230,443,131.98.133.146,56308,alphfl,-0.47015,2,suspicious
52,163.19.111.40,,104.224.67.223,443,alphfl,-0.47015,2,suspicious
53,,443,150.124.227.28,,mptp,-0.47015,2,suspicious
53,43.22.102.20,80,150.124.227.28,,mptp,-0.47015,2,suspicious
54,150.124.226.220,52284,172.191.30.126,443,alphfl,-0.47015,2,suspicious
55,31.42.35.160,,,22,ptmp,0.23198,3,anomalous
56,150.124.144.167,,,443,ptmp,0.8567,6,anomalous
57,150.124.225.66,54567,146.65.201.198,443,alphfl,0.23198,3,anomalous
58,131.98.99.243,,88.193.223.228,53,alphfl,0.8535,4,anomalous
59,185.217.128.150,5061,,5060,ntscUDPOther,0.23198,3,anomalous
60,202.187.67.226,,,445,ntscSYN139445,0.23198,3,anomalous
61,175.227.162.46,,,445,ntscSYN139445,0.23198,3,anomalous
62,91.179.240.106,,,1900,ntscUDPOther,0.23198,3,anomalous
63,118.80.67.191,,,1433,ntscSYN,0.23198,3,anomalous
64,101.187.245.137,,,1433,ntscSYN,0.23198,3,anomalous
65,47.174.108.231,,,6379,ntscSYN,0.23198,3,anomalous
66,101.117.27.128,,,6379,ntscSYN,0.23198,3,anomalous
67,47.173.138.83,,,6379,ntscSYN,0.23198,3,anomalous
68,218.72.35.53,,,1433,ntscSYN,0.23198,3,anomalous
69,111.191.206.135,,,6379,ntscSYN,0.38242,4,anomalous
70,188.156.82.168,,,52869,sntscSYN,0.23198,3,anomalous
70,188.156.82.168,,,49152,sntscSYN,0.23198,3,anomalous
71,185.167.81.177,,,5351,ntscUDPOther,0.23198,3,anomalous
72,185.167.81.176,,,5351,ntscUDPOther,0.23198,3,anomalous
73,185.167.81.181,,,5351,ntscUDPOther,0.23198,3,anomalous
74,185.167.81.180,,,5351,ntscUDPOther,0.23198,3,anomalous
75,113.246.218.135,,,6379,ntscSYN,0.61062,5,anomalous
76,,,61.215.151.121,,ntscTCPTCPICrp,0.25168,5,anomalous
77,150.124.244.56,8080,,,ptmp,0.62104,7,anomalous
78,60.141.211.185,,133.11.194.65,,ptpposcaUDP,0.12897,5,anomalous
79,162.16.54.21,,150.124.225.19,,alphfl,0.1314,5,anomalous
80,133.11.240.253,9000,,9000,ntscUDPOther,0.34808,6,anomalous
81,203.193.115.144,80,,,mptmp,0.62104,7,anomalous
81,150.124.181.229,80,,,mptmp,0.62104,7,anomalous
82,45.155.91.68,,,60001,ntscSYN,0.86252,8,anomalous
82,45.240.203.89,,,6379,ntscSYN,0.86252,8,anomalous
82,209.225.172.79,12771,,9090,ntscSYN,0.86252,8,anomalous
83,,,202.12.26.38,53,DDoSUDP,1.5085,8,anomalous
83,,,192.175.8.41,53,DDoSUDP,1.5085,8,anomalous
83,,,192.175.8.1,53,DDoSUDP,1.5085,8,anomalous
84,,,150.124.181.229,80,mptp,1.20792,10,anomalous
84,,,150.124.181.229,443,mptp,1.20792,10,anomalous
85,185.150.227.193,,,8567,ntscSYN,0.42775,2,anomalous
85,185.150.227.193,,,8564,ntscSYN,0.42775,2,anomalous
86,170.216.39.178,,,8728,ntscSYN,0.89076,6,anomalous
87,49.243.123.72,4301,,,ptmp,0.42775,2,anomalous
88,,,,3702,mptmp,0.54253,4,anomalous
89,210.237.95.216,,15.212.13.13,,mptmp,0.42775,2,anomalous
89,210.237.95.216,80,,,mptmp,0.42775,2,anomalous
89,210.237.95.216,443,,,mptmp,0.42775,2,anomalous
89,,80,15.212.13.13,,mptmp,0.42775,2,anomalous
89,,443,15.212.13.13,,mptmp,0.42775,2,anomalous
90,185.150.227.197,,,17000,ntscSYN,0.68848,7,anomalous
90,85.228.119.227,,,8728,ntscSYN,0.68848,7,anomalous
91,172.107.174.113,443,,,mptmp,0.45627,6,anomalous
91,64.46.188.95,,,177,mptmp,0.45627,6,anomalous
92,150.124.225.67,,,,ptmp,0.33799,6,anomalous
93,94.98.167.207,,,,ntscSYN,0.65552,7,anomalous
93,45.112.158.250,,,2087,ntscSYN,0.65552,7,anomalous
94,,9000,133.11.240.253,,mptmp,0.34808,6,anomalous
94,,,133.11.240.253,9000,mptmp,0.34808,6,anomalous
94,,9000,,9000,mptmp,0.34808,6,anomalous
95,128.63.125.51,,,5432,ntscSYN,0.82089,6,anomalous
96,184.87.243.17,,,,mptmp,1.20792,10,anomalous
96,194.170.80.222,44399,,,mptmp,1.20792,10,anomalous
97,31.242.205.205,443,150.124.120.74,,alphfl,0.29858,4,anomalous
98,34.219.44.73,443,203.193.113.208,,heavy_hitter,0.811,8,anomalous
99,,,163.75.192.60,,ntscICecrqICecrprp,0.1314,5,anomalous
100,,,203.193.115.144,80,mptpHTTP,0.91155,8,anomalous
101,202.215.102.13,,,443,ptmp,0.08043,3,anomalous
101,202.215.102.13,,1.254.174.225,53,ptmp,0.08043,3,anomalous
102,150.124.226.251,,,443,mptmp,0.01909,4,anomalous
102,133.23.137.136,,101.218.214.194,443,mptmp,0.01909,4,anomalous
102,150.124.226.251,,43.22.102.20,80,mptmp,0.01909,4,anomalous
103,,443,,,mptmp,0.59459,7,anomalous
104,185.150.227.254,,,,mptmp,1.26056,9,anomalous
104,61.215.151.121,,,,mptmp,1.26056,9,anomalous
105,,80,150.124.226.251,,mptmp,0.62104,7,anomalous
105,,443,150.124.226.247,,mptmp,0.62104,7,anomalous
106,,,150.124.244.56,8080,mptp,0.62104,7,anomalous
107,,443,157.90.168.3,,mptp,0.34808,6,anomalous
108,,443,,,mptmp,0.5017,6,anomalous
109,179.204.62.48,,,8080,ntscSYN,0.01909,4,anomalous
110,185.183.119.211,,,3128,ntscSYN,0.01909,4,anomalous
111,150.124.226.247,,,443,ptmp,0.45627,6,anomalous
112,133.23.71.247,,104.128.109.248,443,ptmp,0.08043,3,anomalous
112,133.23.71.247,,,,ptmp,0.08043,3,anomalous
